ect,13902
hou,7284
enron,6556
gas,2864
deal,2790
subject,2733
com,2718
please,2718
meter,2459
cc,2361
pm,2327
hpl,2322
daren,1901
thanks,1818
corp,1711
know,1442
mmbtu,1353
e,1342
j,1302
forwarded,1298
need,1259
farmer,1137
let,1089
attached,1088
xls,1025
see,1022
new,1003
may,960
l,924
contract,885
volume,877
robert,875
day,875
would,875
sitara,861
nom,833
texas,796
get,795
volumes,790
month,780
questions,764
pec,752
deals,745
price,735
ena,732
bob,710
th,706
flow,673
message,669
energy,665
file,654
mail,648
change,647
production,639
sent,637
information,635
time,635
call,619
following,612
nomination,587
gary,561
ticket,560
daily,556
also,552
mary,550
us,548
one,543
march,515
april,512
july,507
original,506
x,472
plant,471
company,467
melissa,462
p,458
per,456
houston,450
effective,449
teco,444
back,442
vance,440
net,439
tenaska,431
like,418
days,418
sale,411
list,411
fw,408
george,406
june,406
changes,403
ami,401
pat,398
purchase,395
could,391
smith,390
julie,390
help,388
set,388
transport,385
want,385
jackie,375
agreement,372
well,369
make,369
b,366
system,366
number,364
first,363
north,361
contact,360
email,359
aimee,359
january,358
sales,357
noms,355
c,351
lisa,348
tap,343
desk,339
susan,337
america,336
david,333
pipeline,333
october,331
actuals,330
hsc,330
michael,329
mark,325
w,323
order,323
report,322
cotten,321
needs,321
august,318
think,318
management,315
taylor,314
today,313
megan,310
week,310
steve,310
chokshi,309
iv,308
thank,308
friday,307
request,305
delivery,302
john,301
take,298
fyi,298
next,296
tom,295
forward,295
duke,294
point,293
work,292
co,292
hplc,292
oil,291
less,290
date,290
last,288
business,288
september,287
tu,285
name,285
group,283
december,281
november,280
wellhead,279
clynes,276
k,276
february,275
total,274
use,273
eastrans,273
feb,271
activity,270
spot,267
issue,267
lloyd,267
tickets,267
meeting,266
sure,266
counterparty,266
graves,265
go,264
line,264
two,264
service,264
fuel,263
unify,262
currently,261
brian,259
team,257
monday,257
meters,256
due,254
http,253
aol,253
resources,251
revised,250
inc,249
na,248
services,246
send,245
f,242
pg,242
still,241
lee,241
actual,240
utilities,239
global,239
txu,239
supply,238
year,238
contracts,237
look,237
h,236
fax,235
based,234
jan,233
tx,229
meyers,228
howard,225
hplno,224
rate,223
fee,222
thursday,222
give,222
rita,222
process,221
office,221
lannou,221
received,220
end,218
created,218
nominations,218
hanks,217
since,215
james,214
young,214
going,213
note,212
allocation,211
made,209
phone,209
demand,207
trading,207
r,206
entered,206
done,205
find,204
free,202
available,201
correct,201
thru,200
check,199
tuesday,199
pefs,198
put,197
mike,197
data,197
deliveries,197
however,197
enronxgate,197
weissman,196
manager,195
doc,195
gcs,195
cec,195
additional,194
able,194
dec,194
katherine,194
show,193
issues,193
wynne,193
carlos,191
allocated,190
camp,190
hplo,190
invoice,189
allen,188
term,187
iferc,185
path,185
scheduled,185
fuels,185
natural,183
keep,183
gathering,183
regarding,183
place,181
numbers,181
people,181
logistics,180
receive,180
continue,180
provide,180
product,180
spreadsheet,179
ls,177
equistar,177
anita,177
pricing,177
transaction,177
id,177
buyback,177
click,177
jones,176
high,176
period,176
marketing,173
access,171
create,171
field,170
good,170
sherlyn,170
said,170
www,170
fred,170
anything,169
problem,169
wednesday,168
support,168
someone,168
flowed,168
scheduling,167
pops,167
home,167
entex,166
address,166
pay,166
customer,166
katy,166
review,165
possible,165
update,164
plan,163
ees,163
operations,162
zero,162
prior,161
firm,161
clem,161
st,161
control,161
tess,160
either,159
darren,159
current,158
swing,158
soon,158
coastal,158
months,157
calpine,155
way,155
scott,155
hours,153
brenda,153
valley,153
needed,151
start,151
employees,151
accounting,151
must,151
tomorrow,150
midcon,150
changed,150
aep,150
survey,150
gco,150
ranch,149
another,149
right,149
ray,149
stephanie,149
im,148
donna,147
imbalance,147
working,146
agree,145
karen,145
cotton,145
stacey,145
ces,145
donald,144
acton,143
add,143
power,143
rodriguez,142
parker,142
thu,141
follows,140
used,140
lauri,140
sept,138
beaumont,137
richard,137
advise,137
cornhusker,136
old,136
jim,136
valid,136
vlt,136
hotmail,136
market,135
redeliveries,135
development,135
schedule,135
rates,134
cynthia,134
victor,133
carthage,133
storage,133
corporation,133
much,132
morning,132
pipe,132
great,132
copy,131
feedback,131
customers,131
schumack,131
charlie,130
n,130
increase,130
dave,130
using,130
paid,129
beginning,129
stone,128
web,128
risk,128
reinhardt,128
requested,128
luong,127
shut,127
called,126
come,126
ken,126
mobil,126
getting,126
part,125
account,125
every,125
believe,124
wanted,124
lsk,123
lst,123
cheryl,123
book,123
revision,122
ic,122
hplnl,122
herod,122
confirmed,122
jeff,121
handle,121
extend,121
producer,121
page,121
methanol,121
trade,120
amount,120
person,120
albrecht,120
thomas,120
products,120
form,119
buy,119
papayoti,119
shows,118
already,118
operating,118
within,118
center,118
something,118
financial,118
type,118
cover,117
extended,117
dfarmer,117
bryan,117
best,116
union,116
yet,116
three,116
east,116
lamphier,116
exxon,116
internet,115
valero,115
cleburne,114
error,114
edward,114
hope,114
everyone,112
problems,112
looking,112
project,111
clear,111
location,111
baumbach,111
poorman,110
anyone,110
updated,110
basis,110
position,110
nominated,110
via,110
confirm,110
listed,109
addition,109
around,109
tax,108
liz,108
central,108
afternoon,108
sorry,108
g,108
el,108
dow,108
devon,108
jennifer,108
might,107
feel,107
else,107
janet,107
question,107
got,107
dy,107
eol,106
status,106
koch,106
lsp,105
neal,105
info,105
waha,105
cut,105
oasis,105
several,105
hesse,105
future,104
left,104
yahoo,104
added,103
state,103
sell,103
probably,103
coming,103
weekend,103
training,103
stack,103
exception,102
purchases,102
move,102
riley,102
estimate,102
star,101
different,101
enserch,101
lp,101
long,101
unit,101
enrononline,101
stella,101
mcf,100
big,100
items,100
outage,100
special,100
mid,100
employee,100
many,100
monthly,99
link,99
pathed,98
kevin,98
mailto,98
cernosek,98
follow,98
complete,97
aepin,97
hall,97
portfolio,97
withers,96
apache,96
reports,96
direct,96
together,96
priced,96
program,96
discuss,96
tejas,95
physical,95
industrial,95
online,95
things,95
enter,95
return,94
bellamy,94
even,94
close,94
saturday,94
payment,93
option,93
final,93
necessary,92
lone,92
mm,92
notice,92
party,92
without,92
read,92
receipt,92
spoke,92
points,92
reflect,92
morris,92
thought,91
williams,91
therefore,91
approval,91
offer,91
boas,91
suite,90
hi,90
include,90
london,90
password,90
visit,90
transportation,89
superty,88
avila,88
verify,88
performance,88
case,88
facility,88
approximately,88
exchange,88
easttexas,88
mccoy,88
elizabeth,87
lamadrid,87
zone,87
settlements,87
trying,87
hesco,87
nov,87
william,87
president,87
bruce,87
cdnow,87
gpgfin,86
run,86
vacation,86
track,86
charlotte,86
hakemack,86
showing,86
nguyen,86
site,86
herrera,86
better,85
intended,85
cannot,85
sandi,85
beverly,85
additionally,85
paso,85
legal,85
meet,85
included,85
kcs,84
cost,84
ltd,84
details,84
asked,84
walker,84
little,84
cp,84
oct,84
hill,83
index,83
ask,83
base,83
activities,83
sally,83
eileen,82
impact,82
try,82
tina,82
talk,82
sat,82
city,82
told,82
staff,81
moved,81
including,81
section,81
earl,80
requirements,80
bridge,80
letter,80
purchased,80
reliantenergy,80
night,80
king,79
exploration,79
costs,79
expedia,79
completed,78
eric,78
johnson,78
comments,78
love,78
channel,77
kimberly,77
ponton,77
enw,77
capacity,77
gomes,77
flowing,77
hub,77
rebecca,77
print,76
stock,76
delivered,76
ensure,76
understanding,76
dan,76
informed,76
enerfin,76
btu,75
neon,75
rd,75
expense,75
response,75
looks,75
found,75
terry,75
missing,75
tisdale,74
tammy,74
later,74
website,74
version,74
strangers,74
tell,74
dynegy,74
related,73
prices,73
gulf,73
allow,73
tetco,73
area,73
whole,73
understand,72
allocate,72
etc,72
bill,72
directly,72
image,72
early,72
invoices,72
mckay,72
distribution,72
rc,72
orders,72
select,72
transactions,71
box,71
content,71
document,71
loss,71
answer,71
neuweiler,71
general,70
guys,70
canada,70
expected,70
mops,70
notes,70
trader,70
tufco,70
balance,70
sunday,70
holmes,70
jill,70
charlene,70
unsubscribe,70
assignment,70
processing,70
application,70
intrastate,70
value,69
appreciate,69
personal,69
options,69
reply,69
interconnect,69
expired,69
asap,69
interest,69
mentioned,68
olsen,68
ext,68
commercial,68
capital,68
couple,68
according,68
availabilities,68
panenergy,68
fill,68
heidi,68
referenced,68
gtc,68
provided,68
chad,68
weeks,68
never,68
flash,68
draft,67
discussion,67
greg,67
mar,67
release,67
chris,67
ready,67
valadez,67
yesterday,67
credit,67
billed,67
roll,67
transition,67
level,66
assistance,66
stay,66
matt,66
past,66
user,66
ua,66
systems,66
important,66
always,66
begin,66
assets,66
everything,66
stephen,66
svcs,66
open,66
wells,66
united,66
times,66
years,66
takes,66
communications,66
regards,65
sold,65
small,65
estimates,65
though,65
pinion,65
statement,65
chance,65
interested,65
linda,65
determine,64
really,64
jo,64
south,64
wants,64
kim,64
tracked,64
al,64
cass,64
limit,64
estimated,63
brazos,63
charge,63
unaccounted,63
longer,63
excess,63
groups,63
starting,63
code,63
side,63
evergreen,63
revisions,63
planning,63
trevino,63
copano,63
room,62
previously,62
morgan,62
origination,62
epgt,62
remaining,62
winfree,62
taking,62
short,61
hear,61
late,61
rick,61
role,61
bring,61
users,61
dth,61
christy,61
spinnaker,61
crosstex,61
reveffo,61
troy,61
nd,60
partners,60
lonestar,60
view,60
works,60
travel,60
responsible,60
money,60
second,60
resolve,60
importance,60
messages,60
given,60
correctly,60
u,60
prc,60
non,60
shell,60
notify,59
associated,59
louisiana,59
cpr,59
appropriate,59
blue,59
mmbtus,59
went,59
write,59
kelly,59
prod,59
summary,59
mtr,59
taken,59
top,59
confirmation,59
encina,59
county,59
ews,59
white,58
cell,58
ricky,58
specific,58
markets,58
remember,58
spring,58
took,58
csikos,58
hey,58
paul,58
grant,58
goliad,58
green,57
jackson,57
concerns,57
dallas,57
owner,57
pager,57
assigned,57
golf,57
pass,57
hanson,57
resolved,57
vols,57
schneider,57
businesses,57
resume,57
monitor,57
respond,57
gd,57
daniel,57
texaco,56
god,56
yvette,56
expect,56
cash,56
archer,56
booked,56
sun,56
paths,56
key,56
sign,56
jeffrey,56
mills,56
california,56
